,open,high,low,close,adjclose,volume,ticker,date,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2016-08-25,756.0,760.5599975585938,754.739990234375,759.219970703125,759.219970703125,1623000,AMZN,2016-08-25,18.63466,7.7083330154418945,0.0,751.5116376876831
2016-08-26,760.0499877929688,770.0,759.7999877929688,769.0,769.0,2776800,AMZN,2016-08-26,335.99734,358.1400146484375,0.0,410.8599853515625
2016-08-29,768.719970703125,774.97998046875,768.5999755859375,771.2899780273438,771.2899780273438,2198600,AMZN,2016-08-29,71.059586,75.00000000000001,0.0,696.2899780273438
2016-08-30,771.0499877929688,771.8400268554688,765.5599975585938,767.5800170898438,767.5800170898438,1709200,AMZN,2016-08-30,268.56238,250.60000610351557,0.0,516.9800109863281
2016-08-31,766.5999755859375,769.6400146484375,764.0,769.1599731445312,769.1599731445312,1633800,AMZN,2016-08-31,659.9895,607.9400024414062,0.0,161.219970703125
2016-09-01,770.9000244140625,772.0399780273438,766.75,770.6199951171875,770.6199951171875,1792300,AMZN,2016-09-01,201.00552,182.5,0.0,588.1199951171875
2016-09-02,774.1099853515625,776.0,771.7000122070312,772.4400024414062,772.4400024414062,2181800,AMZN,2016-09-02,326.87646,310.489990234375,0.0,461.95001220703125
2016-09-06,774.0399780273438,789.47998046875,770.219970703125,788.8699951171875,788.8699951171875,3719800,AMZN,2016-09-06,82.40342,72.37999725341797,0.0,716.4899978637695
2016-09-07,789.530029296875,790.7899780273438,784.3300170898438,784.47998046875,784.47998046875,2424600,AMZN,2016-09-07,1921.4401,2011.0,1226.52001953125,0.0
2016-09-08,783.8900146484375,786.5,781.4400024414062,784.0599975585938,784.0599975585938,2030500,AMZN,2016-09-08,20.972342,11.875,0.0,772.1849975585938
2016-09-09,779.3599853515625,781.0,760.1099853515625,760.1400146484375,760.1400146484375,4257300,AMZN,2016-09-09,61.947567,54.060001373291016,0.0,706.0800132751465
2016-09-12,757.3499755859375,772.6599731445312,756.0,771.489990234375,771.489990234375,3124700,AMZN,2016-09-12,189.80862,181.2599945068359,0.0,590.2299957275391
2016-09-13,768.77001953125,769.8900146484375,759.0499877929688,761.010009765625,761.010009765625,3117200,AMZN,2016-09-13,1718.3442,1842.9200439453125,1081.9100341796875,0.0
2016-09-14,762.2000122070312,767.5,758.8499755859375,761.0900268554688,761.0900268554688,2523000,AMZN,2016-09-14,195.03441,225.16000366210935,0.0,535.9300231933594
2016-09-15,762.0,770.8699951171875,757.5800170898438,769.6900024414062,769.6900024414062,3034000,AMZN,2016-09-15,593.25775,554.0399780273438,0.0,215.6500244140625
2016-09-16,773.280029296875,780.4600219726562,771.6599731445312,778.52001953125,778.52001953125,5499200,AMZN,2016-09-16,863.0869,898.2800292968749,119.76000976562489,0.0
2016-09-19,779.969970703125,781.9400024414062,771.0,775.0999755859375,775.0999755859375,2297200,AMZN,2016-09-19,46.93007,25.125,0.0,749.9749755859375
2016-09-20,776.0,781.3699951171875,776.0,780.219970703125,780.219970703125,1937200,AMZN,2016-09-20,57.385166,52.95000076293945,0.0,727.2699699401855
